16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:48:15.437 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:48:15.438 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:48:15.438 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:48:15.438 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:49:17.522 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
16:49:17.524 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:49:17.524 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:49:17.524 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:49:17.524 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 4. Register Customer
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 5. Register Agent
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 6. Customer add balance
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 7. Customer get insurance
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 8. Book travel for customer
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 9. Add travel to agencys offer
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - 10. Exit
16:49:17.525 [main] INFO  com.solvd.agency.utils.Utils - Enter choice: 
16:49:22.233 [main] INFO  com.solvd.agency.Main - Enter name: 
16:49:27.490 [main] INFO  com.solvd.agency.Main - Welcome to the Travel Agency
16:49:27.492 [main] INFO  com.solvd.agency.utils.Utils - Please choose an option:
16:49:27.492 [main] INFO  com.solvd.agency.utils.Utils - 1. Display agents
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 2. Display customers
16:49:27.493 [main] INFO  com.solvd.agency.utils.Utils - 3. Display agency travels
